commodity,scenario,severity,horizon_months,threshold,prob_exceed
cotton,flood,0.0,6,0.15,0.128
cotton,flood,0.0,6,0.2,0.0681
cotton,flood,0.0,12,0.05,0.4352
cotton,flood,0.0,12,0.1,0.3265
cotton,flood,0.0,12,0.15,0.2333
cotton,flood,0.0,12,0.2,0.1649
cotton,flood,0.25,3,0.05,0.3464
cotton,flood,0.25,3,0.1,0.1646
cotton,flood,0.25,3,0.15,0.0647
cotton,flood,0.25,3,0.2,0.0233
cotton,flood,0.25,6,0.05,0.4578
cotton,flood,0.25,6,0.1,0.297
cotton,flood,0.25,6,0.15,0.1736
cotton,flood,0.25,6,0.2,0.0986
cotton,flood,0.25,12,0.05,0.5476
cotton,flood,0.25,12,0.1,0.4352
cotton,flood,0.25,12,0.15,0.3307
cotton,flood,0.25,12,0.2,0.2409
cotton,flood,0.5,3,0.05,0.4029
cotton,flood,0.5,3,0.1,0.2028
cotton,flood,0.5,3,0.15,0.0833
cotton,flood,0.5,3,0.2,0.0312
cotton,flood,0.5,6,0.05,0.5399
cotton,flood,0.5,6,0.1,0.3748
cotton,flood,0.5,6,0.15,0.2336
cotton,flood,0.5,6,0.2,0.1349
cotton,flood,0.5,12,0.05,0.6562
cotton,flood,0.5,12,0.1,0.5478
cotton,flood,0.5,12,0.15,0.441
cotton,flood,0.5,12,0.2,0.3405
cotton,flood,0.75,3,0.05,0.4643
cotton,flood,0.75,3,0.1,0.2464
cotton,flood,0.75,3,0.15,0.1076
cotton,flood,0.75,3,0.2,0.0404
cotton,flood,0.75,6,0.05,0.6176
cotton,flood,0.75,6,0.1,0.4578
cotton,flood,0.75,6,0.15,0.3036
cotton,flood,0.75,6,0.2,0.1824
cotton,flood,0.75,12,0.05,0.7481
cotton,flood,0.75,12,0.1,0.6563
cotton,flood,0.75,12,0.15,0.5544
cotton,flood,0.75,12,0.2,0.4495
cotton,flood,1.0,3,0.05,0.5275
cotton,flood,1.0,3,0.1,0.2961
cotton,flood,1.0,3,0.15,0.1361
cotton,flood,1.0,3,0.2,0.054
cotton,flood,1.0,6,0.05,0.6905
cotton,flood,1.0,6,0.1,0.5399
cotton,flood,1.0,6,0.15,0.3801
cotton,flood,1.0,6,0.2,0.2446
cotton,flood,1.0,12,0.05,0.829
cotton,flood,1.0,12,0.1,0.7482
cotton,flood,1.0,12,0.15,0.6605
cotton,flood,1.0,12,0.2,0.5632
cotton,flood,1.25,3,0.05,0.5906
cotton,flood,1.25,3,0.1,0.3466
cotton,flood,1.25,3,0.15,0.1705
cotton,flood,1.25,3,0.2,0.0714
cotton,flood,1.25,6,0.05,0.7545
cotton,flood,1.25,6,0.1,0.6178
cotton,flood,1.25,6,0.15,0.4644
cotton,flood,1.25,6,0.2,0.3184
cotton,flood,1.25,12,0.05,0.8842
cotton,flood,1.25,12,0.1,0.829
cotton,flood,1.25,12,0.15,0.7524
cotton,flood,1.25,12,0.2,0.6691
cotton,flood,1.5,3,0.05,0.6505
cotton,flood,1.5,3,0.1,0.4032
cotton,flood,1.5,3,0.15,0.2113
cotton,flood,1.5,3,0.2,0.0912
cotton,flood,1.5,6,0.05,0.8108
cotton,flood,1.5,6,0.1,0.6906
cotton,flood,1.5,6,0.15,0.548
cotton,flood,1.5,6,0.2,0.395
cotton,flood,1.5,12,0.05,0.926
cotton,flood,1.5,12,0.1,0.8842
cotton,flood,1.5,12,0.15,0.8331
cotton,flood,1.5,12,0.2,0.7614
cotton,flood,1.75,3,0.05,0.6982
cotton,flood,1.75,3,0.1,0.4644
cotton,flood,1.75,3,0.15,0.2556
cotton,flood,1.75,3,0.2,0.1156
cotton,flood,1.75,6,0.05,0.8573
cotton,flood,1.75,6,0.1,0.7546
cotton,flood,1.75,6,0.15,0.6245
cotton,flood,1.75,6,0.2,0.4799
cotton,flood,1.75,12,0.05,0.9543
cotton,flood,1.75,12,0.1,0.9261
cotton,flood,1.75,12,0.15,0.8858
